SKU,SKU Description,x86,IBM POWER,ARM,Physical,Virtual,Virtual Datacenters,HPC,SAP,Sap Applications,SAP Solutions,Premium,Standard,Self Support,Add-on,Satellite / Smart Management ,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
RH02752,Enhanced Extended Update Support for Red Hat Enterprise Linux (Physical or Virtual Nodes),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,448,1209.09,RHEL,2,,,LAYERED,,PHYSICAL NODE OR VIRTUAL NODE,RH02752F3
RH02753,Enhanced Extended Update Support for Red Hat Enterprise Linux (Unlimited Guests),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,1379,3724.14,RHEL,2,,,LAYERED,UNLIMITED,PHYSICAL NODE,RH02753F3
RH02757,Enhanced Extended Update Support for Red Hat Enterprise Linux for IBM System z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,1798,4854.98,RHEL,,,,LAYERED,0,IFL,RH02757F3
RH02754,"Enhanced Extended Update Support for Red Hat Enterprise Linux for Power, LE (4 Cores, Up to 4 LPARs, L3 Only)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,153,413.59,RHEL,,,,LAYERED,0,PHYSICAL NODE OR VIRTUAL NODE,RH02754F3
RH02755,"Enhanced Extended Update Support for Red Hat Enterprise Linux for Power, LE (Unlimited Guests)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,1379,3724.14,RHEL,2,,,LAYERED,UNLIMITED,PHYSICAL NODE,RH02755F3
RH02756,"Enhanced Extended Update Support for Red Hat Enterprise Linux for Power, LE (Physical or Virtual Nodes)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,448,1209.09,RHEL,2,,,LAYERED,,PHYSICAL NODE OR VIRTUAL NODE,RH02756F3
RH00732,Extended Life Cycle Support for Red Hat Enterprise Linux for z Systems,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,GBP,4347,,RHEL,0,,,LAYERED,0,IFL,
RH00030,Extended Update Support,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,172,463.89,RHEL,2,,,LAYERED,0,SYSTEM,RH00030F3
RH02714,Extended Update Support  for Workstation (Up to 4 Guests),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,103,277.59,RHEL,2,,,LAYERED,1,PHYSICAL NODE OR VIRTUAL NODE,RH02714F3
RH00038,Extended Update Support (Disaster Recovery),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,GBP,86,232.88,RHEL,2,,,LAYERED,0,SYSTEM,RH00038F3
RH00754,"Extended Update Support for IBM Power, LE for Unlimited Guests",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,535,1443.83,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,RH00754F3
RH00508,"Extended Update Support for Red Hat Enterprise Linux for IBM Power, LE (4 Cores, Up to 4 LPARs)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,59,158.36,RHEL,0,,,LAYERED,0,SYSTEM,RH00508F3
RH00519,"Extended Update Support for Red Hat Enterprise Linux for IBM Power, LE, (IFL, up to 4 LPARs) (disaster recovery)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,GBP,79,214.25,RHEL,0,,,LAYERED,0,SYSTEM,RH00519F3
RH01934,"Extended Update Support for Red Hat Enterprise Linux for IBM Power, LE (Physical or Virtual Nodes)",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,172,463.89,RHEL,2,,,PREMIUM,0,PHYSICAL NODE OR VIRTUAL NODE,RH01934F3
RH00061,Extended Update Support for Unlimited Guests,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,GBP,535,1443.83,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,RH00061F3
