SKU,SKU Description,Premium,Standard,ELS,3Scale,AMQ,Data Grid,Fuse,Jboss,JbossEAP,JbossWebServer,Service Interconnect,OpenJDK,Quarkus,Integration,Runtimes,Application Foundations,Edge,Distributed Computing,Openshift,,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
MW00311,"Red Hat 3scale API Management, Premium (4 Cores)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,8197,22132.44,INTEGRATION BNDL/FUSE/AMQ/3SCALE,0,4,,PREMIUM,0,CORE BAND,MW00311F3
MW00312,"Red Hat 3scale API Management, Premium (16 Cores)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,29808,80481.6,INTEGRATION BNDL/FUSE/AMQ/3SCALE,0,16,,PREMIUM,0,CORE BAND,MW00312F3
MW00313,"Red Hat 3scale API Management, Premium (64 Cores)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,107309,289733.76,INTEGRATION BNDL/FUSE/AMQ/3SCALE,0,64,,PREMIUM,0,CORE BAND,MW00313F3
MW00314,"Red Hat 3scale API Management, Standard (4 Cores)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,5465,14754.96,INTEGRATION BNDL/FUSE/AMQ/3SCALE,0,4,,STANDARD,0,CORE BAND,MW00314F3
MW00315,"Red Hat 3scale API Management, Standard (16 Cores)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,19872,53654.4,INTEGRATION BNDL/FUSE/AMQ/3SCALE,0,16,,STANDARD,0,CORE BAND,MW00315F3
MW00316,"Red Hat 3scale API Management, Standard (64 Cores)",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,71539,193155.84,INTEGRATION BNDL/FUSE/AMQ/3SCALE,0,64,,STANDARD,0,CORE BAND,MW00316F3
MW00134,"Red Hat AMQ, Premium (4 Cores)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,7452,20120.4,INTEGRATION BNDL/FUSE/AMQ/3SCALE,,,,PREMIUM,,CORE BAND,MW00134F3
MW00135,"Red Hat AMQ, Standard (4 Cores)",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,4968,13413.6,INTEGRATION BNDL/FUSE/AMQ/3SCALE,,,,STANDARD,,CORE BAND,MW00135F3
MW00136,"Red Hat AMQ, Extended Lifecycle Support Add-On, Premium (4 Cores)",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,7452,20120.4,INTEGRATION BNDL/FUSE/AMQ/3SCALE,,,,,,CORE BAND,MW00136F3
MW00137,"Red Hat AMQ, Extended Life Cycle Support Add-On, Standard (4 Cores)",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,GBP,4968,13413.6,INTEGRATION BNDL/FUSE/AMQ/3SCALE,,,,,,CORE BAND,MW00137F3
