SKU,SKU Description,Premium,Standard,Extended Update support,Extended life cycle support,High availability,Disaster Recovery,"Is it for Edge, Endpoint or gateway?",Resillient Storage,Licensing Model,,,Currency,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
RH02713,Extended Update Support Academic for Workstation (1 Guest),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,17,46.58,RHEL,2,,,LAYERED,1,PHYSICAL NODE OR VIRTUAL NODE,RH02713F3
RH1140233,High-Availability (Academic Site Subscription) per FTE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,3,9.32,RHEL,16,,,LAYERED,20,SYSTEM,RH1140233F3
MCT3319,"Red Hat Ansible Automation Platform (Academic Edition), Standard (100 Managed Nodes)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,node,,,GBP,4485,12109.5,Ansible,0,,100,STANDARD,0,MANAGED NODE,MCT3319F3
MCT3320,"Red Hat Ansible Automation Platform (Academic Edition), Standard (5000 Managed Nodes)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,node,,,GBP,193200,521640,Ansible,0,,5000,STANDARD,0,MANAGED NODE,MCT3320F3
MCT3321,"Red Hat Ansible Automation Platform (Academic Edition), Standard (10000 Managed Nodes)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,node,,,GBP,386400,1043280,Ansible,0,,10000,STANDARD,0,MANAGED NODE,MCT3321F3
MCT3742,"Red Hat Ansible Automation Platform (Academic Edition), Premium (100 Managed Nodes)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,node,,,GBP,6037,16301.25,Ansible,0,,100,PREMIUM,0,MANAGED NODE,MCT3742F3
MCT3743,"Red Hat Ansible Automation Platform (Academic Edition), Premium (5000 Managed Nodes)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,node,,,GBP,258750,698625,Ansible,0,,5000,PREMIUM,0,MANAGED NODE,MCT3743F3
MCT3744,"Red Hat Ansible Automation Platform (Academic Edition), Premium (10000 Managed Nodes)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,node,,,GBP,517500,1397250,Ansible,0,,1000,PREMIUM,0,MANAGED NODE,MCT3744F3
RH02231,Red Hat Enterprise Linux Academic Extended Life Cycle Support (Physical or Virtual Nodes),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,GBP,37,,RHEL,2,,,LAYERED,0,SYSTEM,
RH02232,Red Hat Enterprise Linux Academic Extended Life Cycle Support (Unlimited Guests),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,GBP,58,,RHEL,2,,,LAYERED,UNLIMITED,SYSTEM,
RH01183,"Red Hat Enterprise Linux Academic Server, Self-support (16 sockets) (Up to 1 guest) with Satellite",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,62,167.67,RHEL,16,,,SELF-SUPPORT,1,SYSTEM,RH01183F3
RH01155,"Red Hat Enterprise Linux Academic Site Subscription with Satellite, Premium (Server, Desktop, Workstation, POWER, HPC, per FTE)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,academic,,,GBP,29,78.25,RHEL,16,,,PREMIUM,20,FTE,RH01155F3
RH01157,"Red Hat Enterprise Linux Academic Site Subscription with Satellite, Standard (Server, Desktop, Workstation, POWER, HPC, Per FTE)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,academic,,,GBP,19,50.3,RHEL,16,,,STANDARD,100,FTE,RH01157F3
RH01156,"Red Hat Enterprise Linux Academic Site Subscription with Satellite , Self-Support (Server, Desktop, Workstation, POWER, HPC, Per FTE)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,academic,,,GBP,12,31.67,RHEL,16,,,SELF-SUPPORT,20,FTE,RH01156F3
RH01185,"Red Hat Enterprise Linux Academic Workstation, Self-support (4 sockets) (Up to 1 guest) with Satellite",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,academic,,,GBP,46,124.82,RHEL,4,,,SELF-SUPPORT,1,SYSTEM,RH01185F3
MCT4301,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 256TB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,7762,20958.75,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4301F3
MCT4302,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 512TB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,14490,39123,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4302F3
MCT4303,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 1PB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,25875,69862.5,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4303F3
MCT4304,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 2PB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,50456,136231.88,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4304F3
MCT4305,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 3PB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,73744,199108.13,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4305F3
MCT4306,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 4PB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,95737,258491.25,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4306F3
MCT4307,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 5PB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,116437,314381.25,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4307F3
MCT4308,"Red Hat OpenShift Data Foundation, Premium (Capacity Expansion Pack, 10PB, Academic)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,225112,607803.75,Container Storage,,,,PREMIUM,,STORAGE BAND,MCT4308F3
MCT4309,"Red Hat OpenShift Data Foundation, Standard (Capacity Expansion Pack, 256TB, Academic)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,GBP,5822,15719.06,Container Storage,,,,STANDARD,,STORAGE BAND,MCT4309F3
