SKU,SKU Description,Premium,Standard,Edge,IBM z,IBM POWER,x86,Platform Plus,Container Platform,Engine,Physical,Virtual,Runtimes,Application Foundations,Data Foundation,Distributed Computing,Windows,Include in Data,Licensing Model,,Currency,Monthly MSRP,1-Year MSRP,3-Year MSRP,Product Line,# of Sockets,# of Cores,# of Nodes,Support Type,Virtual Guests,System Unit of Measure,Channel F3 SKU
MCT3945,"Red Hat Advanced Cluster Management for Kubernetes, Premium  (2 Core or 4 vCPU)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,690,1863,RHACM,,2,,PREMIUM,0,CORE BAND,MCT3945F3
MCT3946,"Red Hat Advanced Cluster Management for Kubernetes, Standard  (2 Core or 4 vCPU)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cores,,GBP,,466,1257.53,RHACM,,2,,STANDARD,0,CORE BAND,MCT3946F3
MCT4023,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Premium (1-2 sockets up to 64 cores)",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,2070,5589,RHACM,2,,,PREMIUM,0,PHYSICAL NODE,MCT4023F3
MCT4024,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Node), Standard (1-2 sockets up to 64 cores)",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Socket Pairs,,GBP,,1380,3726,RHACM,2,,,STANDARD,0,PHYSICAL NODE,MCT4024F3
MCT4208,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Device), Premium (1-2 sockets)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,414,1117.8,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MCT4208F3
MCT4211,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Device), Standard (1-2 sockets)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,276,745.2,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MCT4211F3
MCT4209,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Edge Server), Premium (1-2 sockets)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,621,1676.7,Edge OpenShift,2,,,PREMIUM,0,PHYSICAL NODE,MCT4209F3
MCT4210,"Red Hat Advanced Cluster Management for Kubernetes (Bare Metal Nodes) for Distributed Computing (Edge Server), Standard (1-2 sockets)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Socket Pairs,,GBP,,414,1117.8,Edge OpenShift,2,,,STANDARD,0,PHYSICAL NODE,MCT4210F3
MCT3970,"Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Device), Premium (2 Core or 4 vCPU)",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,138,372.6,Edge OpenShift,,2,,PREMIUM,0,CORE BAND,MCT3970F3
MCT3971,"Red Hat Advanced Cluster Management for Kubernetes for Distributed Computing (Device), Standard (2 Core or 4 vCPU)",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Cores,,GBP,,97,260.82,Edge OpenShift,,2,,STANDARD,0,CORE BAND,MCT3971F3
